Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
Secret Recipe Fries,320,,15,2,0,0,1100,41,3,0,5,317
Sweet Kernel Corn,70,,0.5,0,0,0,0,16,2,2,2,70
BBQ Baked Beans (Family),830,,5,1,0,0,2810,148,31,63,47,847
Coleslaw (Family),640,,46,7,0,15,670,54,14,37,4,680
Corn on the Cob (Family),280,,2,0,0,0,15,67,8,11,9,282
Green Beans (Family),80,,0,0,0,0,930,15,9,3,4,79
Macaroni & Cheese (Family),540,,23,6,0,10,2220,66,5,8,18,536
Macaroni Salad (Family),480,,28,3.5,0,55,990,50,0,30,3,510.5
Mashed Potatoes (Family),460,,15,3,0,0,1410,72,6,0,9,454
Mashed Potatoes With Gravy (Family),590,,21,5,0,0,2590,88,6,1,12,584
Potato Salad (Family),1200,,98,16,0,80,1010,65,8,12,8,1220
Secret Recipe Fries (Family),840,,40,5,0,0,2890,108,9,0,13,832
Sweet Kernel Corn (Family),280,,2.5,0,0,0,10,67,7,8,10,278
Chicken Littles,300,,15,2.5,0,30,620,27,1,3,14,291.5
Chicken Littles  Buffalo,310,,17,2.5,0,30,790,27,1,3,14,301.5
Chicken Littles  Honey BBQ,320,,15,2.5,0,30,680,31,1,7,14,315.5
Chicken Littles  Nashville Hot,340,,19,3,0,30,680,27,1,3,14,332
Classic Chicken Sandwich,650,,35,4.5,0,90,1260,49,1,6,34,626.5
Crispy Colonels Sandwich,470,,24,3.5,0,60,1170,39,<1,4,24,453.5
Crispy Colonels Sandwich  Buffalo,500,,27,4,0,60,1500,39,<1,4,24,484
Crispy Colonels Sandwich  Honey BBQ,510,,25,3.5,0,60,1290,48,<1,12,24,501.5
Crispy Colonels Sandwich  Nashville Hot,540,,32,4.5,0,60,1290,40,<1,5,24,525.5
Crispy Twister,630,,34,7,0,70,1260,53,4,3,28,612
Honey BBQ Sandwich,350,,3.5,0.5,0,55,1350,55,2,22,24,348.5
Spicy Chicken Sandwich,620,,33,4,0,85,2140,49,1,6,34,596
Chicken Pot Pie,720,,41,25,0,80,1750,60,7,5,26,724
KFC Famous Bowl,740,,35,6,0,45,2350,81,6,2,26,722
KFC Famous Bowl  Snack Size,270,,14,3.5,0,20,850,27,2,1,11,263.5
Caesar Side Salad,40,,2,1,0,5,90,2,1,1,3,39
House Side Salad,15,,0,0,0,0,10,3,2,2,1,16
Heinz Buttermilk Dressing,160,,17,2,0,10,220,1,0,1,0,163
Hidden Valley The Original Ranch Fat Free Dressing,35,,0,0,0,0,410,8,0,2,1,36
KFC Creamy Parmesan Caesar Dressing,260,,26,5,0,15,540,4,0,2,2,265
Marzetti Light Italian Dressing,15,,0.5,0,0,0,510,2,0,1,0,16
Parmesan Garlic Croutons,60,,3,0,0,0,135,8,<1,0,2,58
Apple Turnover,230,,10,2.5,0,0,140,32,<1,12,2,242.5
Cafe Valley Chocolate Chip Cake (1 Slice),300,,15,3,0,50,260,39,1,27,4,326
Cafe Valley Lemon Cake (1 Slice),220,,10,2,0,30,170,30,0,20,2,240
Cafe Valley Mini Chocolate Chip Cake,300,,12,2.5,0,40,190,49,1,35,3,334.5
Cafe Valley Mini Lemon Cake,300,,13,2.5,0,50,230,43,0,31,3,330.5
Chocolate Chip Cookie,120,,6,3,0,<5,70,18,1,12,1,134
Oreo Cookies and Pie,270,,13,8,0,<5,210,35,1,24,3,299
Reeses Peanut Butter Pie,300,,17,9,0,<5,270,33,1,22,5,326
BBQ  Dipping Sauce Cup,45,,0,0,0,0,150,11,0,11,0,56
Colonels Buttery Spread,35,,4,1.5,0,0,35,0,0,0,0,36.5
Grape Jelly Packet,35,,0,0,0,0,10,9,0,7,0,42
Honey Mustard  Dipping Sauce Cup,110,,9,1.5,0,<5,120,6,0,6,0,117.5
Honey Sauce Packet,30,,0,0,0,0,0,8,0,5,0,35
Ketchup,30,,0,0,0,0,250,8,0,6,0,36
KFC Sauce  Dipping Sauce Cup,90,,8,1.5,0,10,170,5,0,5,0,96.5
Lemon Juice Packet,5,,0,0,0,0,20,1,0,0,0,5
Ranch  Dipping Sauce Cup,130,,14,2.5,0,10,240,2,0,1,0,133.5
Strawberry Jam Packet,35,,0,0,0,0,0,9,0,6,0,41
Capri Sun 100% Juice Fruit Punch,80,,0,0,0,0,25,21,0,20,0,100
Chocolate Milk 1%,150,,2.5,1.5,0,10,170,26,0,23,7,167.5
Milk 1%,90,,2,1.5,0,10,105,10,0,10,7,94.5
Musselmas„¢ Applesauce,45,,0,0,0,0,0,12,1,8,0,53
7UP (12 fl oz),140,,0,0,0,0,50,35,0,35,0,175
7UP (16 fl oz),190,,0,0,0,0,70,46,0,46,0,236
7UP (20 fl oz),240,,0,0,0,0,85,58,0,58,0,298
7UP (30 fl oz),350,,0,0,0,0,125,87,0,87,0,437
Classic Lemonade (1/2 Gallon),880,,0,0,0,0,780,234,0,228,0,1108
Classic Lemonade (20 fl oz),140,,0,0,0,0,130,39,0,38,0,178
Code Red Mountain Dew (12 fl oz),170,,0,0,0,0,50,46,0,46,0,216
Code Red Mountain Dew (16 fl oz),230,,0,0,0,0,65,62,0,62,0,292
Code Red Mountain Dew (20 fl oz),290,,0,0,0,0,85,77,0,77,0,367
Code Red Mountain Dew (30 fl oz),430,,0,0,0,0,125,116,0,115,0,545
Diet Dr Pepper (12 fl oz),0,,0,0,0,0,70,0,0,0,0,0
Diet Dr Pepper (16 fl oz),0,,0,0,0,0,95,0,0,0,0,0
Diet Dr Pepper (20 fl oz),0,,0,0,0,0,120,0,0,0,0,0
Diet Dr Pepper (30 fl oz),0,,0,0,0,0,180,0,0,0,0,0
Diet Mist Twst (12 fl oz),0,,0,0,0,0,35,0,0,0,0,0
Diet Mist Twst (16 fl oz),0,,0,0,0,0,50,0,0,0,0,0
Diet Mist Twst (20 fl oz),0,,0,0,0,0,60,0,0,0,0,0
Diet Mist Twst (30 fl oz),5,,0,0,0,0,95,0,0,0,0,5
Diet Mountain Dew (12 fl oz),0,,0,0,0,0,55,1,0,0,0,0
Diet Mountain Dew (16 fl oz),5,,0,0,0,0,75,1,0,0,0,5
Diet Mountain Dew (20 fl oz),10,,0,0,0,0,90,1,0,1,0,11
Diet Mountain Dew (30 fl oz),10,,0,0,0,0,140,1,0,1,0,11
Diet Pepsi (12 fl oz),0,,0,0,0,0,55,0,0,0,0,0
Diet Pepsi (16 fl oz),0,,0,0,0,0,75,0,0,0,0,0
Diet Pepsi (20 fl oz),0,,0,0,0,0,95,0,0,0,0,0
Diet Pepsi (30 fl oz),0,,0,0,0,0,140,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (12 fl oz),0,,0,0,0,0,35,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (16 fl oz),0,,0,0,0,0,50,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (20 fl oz),0,,0,0,0,0,60,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (30 fl oz),0,,0,0,0,0,95,0,0,0,0,0
Dr Pepper (12 fl oz),140,,0,0,0,0,45,39,0,38,0,178
Dr Pepper (16 fl oz),190,,0,0,0,0,60,52,0,51,0,241
Dr Pepper (20 fl oz),240,,0,0,0,0,75,65,0,64,0,304
Dr Pepper (30 fl oz),360,,0,0,0,0,110,98,0,96,0,456
Lipton Brisk Lemon Tea (12 fl oz),80,,0,0,0,0,40,22,0,22,0,102
Lipton Brisk Lemon Tea (16 fl oz),110,,0,0,0,0,55,29,0,29,0,139
Lipton Brisk Lemon Tea (20 fl oz),140,,0,0,0,0,70,36,0,36,0,176
Lipton Brisk Lemon Tea (30 fl oz),210,,0,0,0,0,105,55,0,54,0,264
Lipton Brisk No Calorie Peach Iced Green Tea (12 fl oz),0,,0,0,0,0,105,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (16 fl oz),0,,0,0,0,0,140,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (20 fl oz),5,,0,0,0,0,180,0,0,0,0,5
Lipton Brisk No Calorie Peach Iced Green Tea (30 fl oz),10,,0,0,0,0,270,0,0,0,0,10
Lipton Brisk Raspberry Tea (12 fl oz),80,,0,0,0,0,45,20,0,20,0,100
Lipton Brisk Raspberry Tea (16 fl oz),100,,0,0,0,0,55,26,0,26,0,126
Lipton Brisk Raspberry Tea (20 fl oz),130,,0,0,0,0,70,33,0,33,0,163
Lipton Brisk Raspberry Tea (30 fl oz),190,,0,0,0,0,110,49,0,49,0,239
Lipton Brisk Sweet Iced Tea (12 fl oz),80,,0,0,0,0,45,22,0,21,0,101
Lipton Brisk Sweet Iced Tea (16 fl oz),110,,0,0,0,0,65,29,0,29,0,139
Lipton Brisk Sweet Iced Tea (20 fl oz),130,,0,0,0,0,80,36,0,36,0,166
Lipton Brisk Sweet Iced Tea (30 fl oz),200,,0,0,0,0,120,54,0,54,0,254
Lipton Brisk Unsweetened No Lemon Iced Tea (12 fl oz),0,,0,0,0,0,45,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (16 fl oz),0,,0,0,0,0,60,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (20 fl oz),0,,0,0,0,0,75,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (30 fl oz),0,,0,0,0,0,115,0,0,0,0,0
Manzanita Sol (12 fl oz),160,,0,0,0,0,35,42,0,42,0,202
Manzanita Sol (16 fl oz),210,,0,0,0,0,45,57,0,57,0,267
Manzanita Sol (20 fl oz),260,,0,0,0,0,55,71,0,71,0,331
Manzanita Sol (30 fl oz),400,,0,0,0,0,80,106,0,106,0,506
Miranda Strawberry (12 fl oz),160,,0,0,0,0,70,44,0,44,0,204
Miranda Strawberry (16 fl oz),220,,0,0,0,0,95,58,0,58,0,278
Miranda Strawberry (20 fl oz),270,,0,0,0,0,120,73,0,73,0,343
Miranda Strawberry (30 fl oz),410,,0,0,0,0,180,109,0,109,0,519
Mist Twst (12 fl oz),150,,0,0,0,0,35,41,0,41,0,191
Mist Twst (16 fl oz),200,,0,0,0,0,45,54,0,54,0,254
Mist Twst (20 fl oz),260,,0,0,0,0,55,68,0,68,0,328
Mist Twst (30 fl oz),380,,0,0,0,0,80,101,0,101,0,481
MNT DEW Sweet Lightning (20 fl oz),120,,0,0,0,0,190,32,0,25,0,145
Mountain Dew (12 fl oz),160,,0,0,0,0,50,44,0,44,0,204
Mountain Dew (16 fl oz),220,,0,0,0,0,70,59,0,58,0,278
Mountain Dew (20 fl oz),270,,0,0,0,0,85,73,0,73,0,343
Mountain Dew (30 fl oz),410,,0,0,0,0,125,110,0,109,0,519
Mug Root Beer (12 fl oz),140,,0,0,0,0,45,39,0,39,0,179
Mug Root Beer (16 fl oz),190,,0,0,0,0,60,52,0,52,0,242
Mug Root Beer (20 fl oz),240,,0,0,0,0,75,65,0,65,0,305
Mug Root Beer (30 fl oz),360,,0,0,0,0,110,98,0,98,0,458
Pepsi Zero Sugar (12 fl oz),0,,0,0,0,0,35,0,0,0,0,0
Pepsi Zero Sugar (16 fl oz),0,,0,0,0,0,50,0,0,0,0,0
Pepsi Zero Sugar (20 fl oz),0,,0,0,0,0,60,0,0,0,0,0
Pepsi Zero Sugar (30 fl oz),0,,0,0,0,0,95,1,0,0,0,0
Pepsi (12 fl oz),150,,0,0,0,0,30,41,0,41,0,191
Pepsi (16 fl oz),200,,0,0,0,0,45,55,0,55,0,255
Pepsi (20 fl oz),250,,0,0,0,0,55,69,0,69,0,319
Pepsi (30 fl oz),380,,0,0,0,0,80,104,0,103,0,483
Sobe Lifewater Yumberry Pomegranate (12 fl oz),0,,0,0,0,0,45,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (16 fl oz),0,,0,0,0,0,65,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (20 fl oz),0,,0,0,0,0,80,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (30 fl oz),5,,0,0,0,0,120,1,0,0,0,5
Strawberry Lemonade (1/2 Gallon),950,,0,0,0,0,790,270,0,264,0,1214
Strawberry Lemonade (20 fl oz),170,,0,0,0,0,130,45,0,44,0,214
Tropicana Fruit Punch (12 fl oz),170,,0,0,0,0,35,45,0,45,0,215
Tropicana Fruit Punch (16 fl oz),230,,0,0,0,0,45,60,0,60,0,290
Tropicana Fruit Punch (20 fl oz),280,,0,0,0,0,60,75,0,75,0,355
Tropicana Fruit Punch (30 fl oz),420,,0,0,0,0,90,113,0,112,0,532
Tropicana Light Lemonade (12 fl oz),5,,0,0,0,0,140,0,0,0,0,5
Tropicana Light Lemonade (16 fl oz),10,,0,0,0,0,190,0,0,0,0,10
Tropicana Light Lemonade (20 fl oz),10,,0,0,0,0,240,0,0,0,0,10
Tropicana Light Lemonade (30 fl oz),15,,0,0,0,0,350,1,0,0,0,15
Tropicana Pink Lemonade (12 fl oz),150,,0,0,0,0,160,40,0,40,0,190
Tropicana Pink Lemonade (16 fl oz),210,,0,0,0,0,210,53,0,53,0,263
Tropicana Pink Lemonade (20 fl oz),260,,0,0,0,0,260,67,0,67,0,327
Tropicana Pink Lemonade (30 fl oz),390,,0,0,0,0,390,100,0,100,0,490
Tropicana Twister Orange (12 fl oz),170,,0,0,0,0,35,46,0,46,0,216
Tropicana Twister Orange (16 fl oz),230,,0,0,0,0,50,61,0,61,0,291
Tropicana Twister Orange (20 fl oz),290,,0,0,0,0,60,76,0,76,0,366
Tropicana Twister Orange (30 fl oz),430,,0,0,0,0,90,115,0,114,0,544
Wild Cherry Pepsi (12 fl oz),160,,0,0,0,0,30,42,0,42,0,202
Wild Cherry Pepsi (16 fl oz),210,,0,0,0,0,40,56,0,56,0,266
Wild Cherry Pepsi (20 fl oz),260,,0,0,0,0,50,70,0,70,0,330
Wild Cherry Pepsi (30 fl oz),390,,0,0,0,0,80,105,0,105,0,495
Country Fried Steak without Peppered White Gravy,360,,24,7,1,35,750,22,2,0,13,354
Country Fried Steak with Peppered White Gravy,390,,26,7,1,35,910,26,2,0,13,384
KFC Gizzards,300,,16,2,0,210,770,18,<1,0,20,282
KFC Livers,230,,13,2.5,0,285,750,12,0,0,17,215.5
Bacon Club Chalupa,440,240,27,5,0,50,840,31,2,3,20,
Blue Raspberry Freeze„¢ (16 oz),120,0,0,0,0,0,35,30,0,30,0,
Blue Raspberry Freeze„¢ (20 oz),150,0,0,0,0,0,40,38,0,38,0,
Loaded Nacho Taco,250,110,12,4.5,0,25,610,24,3,2,10,
Midnight Berry Freeze„¢ (16 oz),140,0,0,0,0,0,35,35,0,34,0,
Midnight Berry Freeze„¢ (20 oz),170,0,0,0,0,0,40,43,0,42,0,
Nacho Fries,320,160,18,1.5,0,<5,630,35,4,2,4,
Nacho Fries BellGrande,710,360,40,6,0,30,1440,73,10,4,13,
Black Bean Chalupa  Online Exclusive,330,140,15,3,0,10,430,39,5,3,10,
Black Bean Quesarito  Online Exclusive,630,270,29,10,0,35,1260,73,7,5,19,
Quesarito  Online Exclusive,650,300,33,12,0.5,55,1390,67,6,5,22,
Chalupa Supreme  Beef,350,170,18,5,0,25,560,33,4,3,13,
Chalupa Supreme  Chicken,330,140,15,3.5,0,35,560,31,2,3,16,
Chalupa Supreme  Steak,330,140,16,4,0,30,530,32,2,3,15,
Cheesy Gordita Crunch,500,250,28,10,0.5,55,850,41,5,4,20,
Crunchy Taco,170,80,9,3.5,0,25,310,13,3,<1,8,
Crunchy Taco Supreme,190,100,11,4.5,0,25,340,15,3,2,8,
Loaded Nacho Taco (New),250,110,12,4.5,0,25,610,24,3,2,10,
Nacho Cheese Doritos Locos Taco,170,80,9,3.5,0,25,360,13,3,<1,8,
Nacho Cheese Doritos Locos Taco Supreme,190,100,11,4.5,0,30,380,15,3,2,8,
Soft Taco  Beef,180,80,9,4,0,25,500,17,3,1,9,
Soft Taco  Chicken,160,50,5,2.5,0,30,500,16,1,1,12,
Soft Taco Supreme, , , , , , , , , , , ,
Soft Taco  Beef,210,90,10,5,0,25,520,20,3,2,10,
Soft Taco  Chicken,180,60,7,3.5,0,35,520,18,2,2,13,
Bean Burrito (V),350,80,9,3.5,0,5,1000,54,11,3,13,
Beefy 5-Layer Burrito,490,160,18,7,0,30,1250,63,9,5,18,
Burrito Supreme  Beef,390,130,14,6,0,25,1110,51,9,4,16,
Burrito Supreme  Chicken,370,100,11,4.5,0,35,1110,49,8,4,19,
Burrito Supreme  Steak,370,110,12,5,0,30,1090,49,7,4,18,
Chili Cheese Burrito (regional),370,150,17,8,0,35,970,40,4,2,16,
Quesarito  Beef,650,300,33,12,0.5,55,1390,67,6,5,22,
Quesarito  Chicken,620,270,29,11,0,65,1390,66,4,4,25,
Quesarito  Steak,630,270,30,11,0,60,1370,66,4,4,24,
Chips and Nacho Cheese Sauce (V),220,120,13,1.5,0,<5,250,24,2,2,2,
Nacho Fries (V) (New),320,160,18,1.5,0,<5,630,35,4,2,4,
Nacho Fries BellGrande (New),710,360,40,6,0,30,1440,73,10,4,13,
Nachos BellGrande  Beef,740,340,38,7,0,25,1050,82,15,5,16,
Nachos BellGrande  Chicken,720,310,35,6,0,35,1050,81,14,5,20,
Nachos BellGrande  Steak,720,320,36,6,0,30,1030,81,14,5,19,
Beef Quesarito,650,300,33,12,0.5,55,1390,67,6,5,22,
Black Bean Quesarito (V),630,270,29,10,0,35,1260,73,7,5,19,
Quesadilla  Cheese (V),470,230,25,12,0.5,50,990,37,4,2,19,
Quesadilla  Chicken,510,240,26,12,0.5,75,1250,38,4,2,27,
Quesadilla  Steak,520,240,27,12,0.5,70,1230,38,4,2,27,
Bacon Club Chalupa  Specialties,440,240,27,5,0,50,840,31,2,3,20,
Black Bean Chalupa  Specialties,330,140,15,3,0,10,430,39,5,3,10,
Black Bean Crunchwrap Supreme  Specialties,510,160,17,4.5,0,5,1080,77,8,6,13,
Black Bean Quesarito  Specialties,630,270,29,10,0,35,1260,73,7,5,19,
Chalupa Supreme  Specialties,350,170,18,5,0,25,560,33,4,3,13,
Cheesy Gordita Crunch  Specialties,500,250,28,10,0.5,55,850,41,5,4,20,
Cheesy Roll Up  Specialties,180,80,9,5,0,20,430,15,2,<1,9,
Crunchwrap Supreme  Specialties,530,190,21,6,0,25,1200,71,6,6,16,
Crunchy Taco  Specialties,170,80,9,3.5,0,25,310,13,3,<1,8,
Nacho Cheese Doritos Locos Taco  Specialties,170,80,9,3.5,0,25,360,13,3,<1,8,
Nachos BellGrande  Specialties,740,340,38,7,0,25,1050,82,15,5,16,
Power Menu Bowl  Specialties,470,170,19,6,0,70,1200,50,7,2,26,
Quesadilla  Specialties,510,240,26,12,0.5,75,1250,38,4,2,27,
Quesarito  Specialties,650,300,33,12,0.5,55,1390,67,6,5,22,
Soft Taco  Specialties,180,80,9,4,0,25,500,17,3,1,9,
Soft Taco Supreme  Specialties,210,90,10,5,0,25,520,20,3,2,10,
Veggie Power Menu Bowl  Specialties,430,160,17,5,0,20,810,57,10,2,12,
Black Beans & Rice (V),170,30,3.5,0,0,0,320,31,4,0,4,
Black Beans (V),50,10,1,0,0,0,135,8,3,0,2,
Cinnabon Delights„¢ (2 Pk) (V),160,80,9,2,0,5,80,17,0,10,2,
Cinnabon Delights„¢ (12 Pk  Serves 4) (V),930,480,53,13,2,40,480,104,3,59,9,
Cinnamon Twists (V),170,50,6,0,0,0,210,27,<1,13,1,
Diablo Sauce Packet (V),0,0,0,0,0,0,30,0,0,0,0,
Fire Sauce Packet (V),0,0,0,0,0,0,55,0,0,0,0,
Hot Sauce Packet (V),0,0,0,0,0,0,45,0,0,0,0,
Mild Sauce Packet (V),0,0,0,0,0,0,30,0,0,0,0,
Blue Raspberry Freeze„¢ (16 oz) (New),120,0,0,0,0,0,35,30,0,30,0,
Blue Raspberry Freeze„¢ (20 oz) (New),150,0,0,0,0,0,40,38,0,38,0,
Dragon Fruit Freeze (16 oz),190,0,0,0,0,0,50,49,0,47,0,
Dragon Fruit Freeze (20 oz),230,0,0,0,0,0,60,59,0,57,0,
Lowfat Milk  CA (Regional),100,20,2,1.5,0,10,130,13,0,12,9,
Lowfat Milk  Federal (Regional),80,20,2,1.5,0,10,100,10,0,9,7,
Midnight Berry Freeze„¢ (16 oz) (New),140,0,0,0,0,0,35,35,0,34,0,
Midnight Berry Freeze„¢ (20 oz) (New),170,0,0,0,0,0,40,43,0,42,0,
Mtn Dew Baja Blast Freeze„¢ (16 oz),150,0,0,0,0,0,45,41,0,41,0,
Mtn Dew Baja Blast Freeze„¢ (20 oz),190,0,0,0,0,0,55,51,0,51,0,
Orange Juice,140,0,0,0,0,0,20,33,<1,28,2,
Premium Hot Coffee,10,0,0,0,0,0,0,0,0,0,2,
Regular Iced Coffee,10,0,0,0,0,0,0,0,0,0,2,
Water,0,0,0,0,0,0,0,0,0,0,0,
Wild Strawberry Freeze„¢ (16 oz),150,0,0,0,0,0,40,41,0,41,0,
Wild Strawberry Freeze„¢ (20 oz),190,0,0,0,0,0,55,51,0,51,0,
Beef Burrito  Value Menu,430,170,19,5,0,20,970,51,4,3,12,
Cheesy Bean & Rice Burrito  Value Menu,420,140,16,4,0,<5,880,56,7,3,10,
Cheesy Roll Up  Value Menu,180,80,9,5,0,20,430,15,2,<1,9,
Chicken Chipotle Melt  Value Menu,190,80,9,3,0,35,530,15,1,<1,12,
Chips and Nacho Cheese Sauce  Value Menu,220,120,13,1.5,0,<5,250,24,2,2,2,
Cinnamon Twists  Value Menu,170,50,6,0,0,0,210,27,<1,13,1,
Loaded Nacho Taco  Value Menu,250,110,12,4.5,0,25,610,24,3,2,10,
Bean Burrito,350,80,9,3.5,0,5,1000,54,11,3,13,
Black Bean Chalupa,330,140,15,3,0,10,430,39,5,3,10,
Black Bean Crunchwrap Supreme,510,160,17,4.5,0,5,1080,77,8,6,13,
Black Bean Quesarito,630,270,29,10,0,35,1260,73,7,5,19,
Black Beans & Rice,170,30,3.5,0,0,0,320,31,4,0,4,
Cheese Quesadilla,470,230,25,12,0.5,50,990,37,4,2,19,
Cheesy Bean & Rice Burrito,420,140,16,4,0,<5,880,56,7,3,10,
Cheesy Roll Up,180,80,9,5,0,20,430,15,2,<1,9,
Chips and Nacho Cheese Sauce,220,120,13,1.5,0,<5,250,24,2,2,2,
Cinnabon Delights„¢ (2 Pack),160,80,9,2,0,5,80,17,0,10,2,
Cinnabon Delights„¢ (12 Pack  Serves 4),930,480,53,13,2,40,480,104,3,59,9,
Cinnamon Twists,170,50,6,0,0,0,210,27,<1,13,1,
Hash Brown,160,100,12,1,0,0,270,13,2,0,1,
Power Menu Bowl  Veggie,430,160,17,5,0,20,810,57,10,2,12,
Power Menu Bowl  Chicken,470,170,19,6,0,70,1200,50,7,2,26,
Power Menu Bowl  Steak,480,180,20,7,0,60,1150,51,7,2,25,
Power Menu Bowl  Veggie (V),430,160,17,5,0,20,810,57,10,2,12,
Breakfast Crunchwrap  Bacon,670,370,41,12,0,140,1270,50,4,3,21,
Breakfast Crunchwrap  Sausage,720,430,47,15,0,145,1210,51,4,3,21,
Breakfast Crunchwrap  Steak,660,350,38,12,0,145,1300,51,4,3,24,
Breakfast Salsa Packet (V),0,0,0,0,0,0,50,<1,0,0,0,
Cheesy Toasted Breakfast Burrito  Bacon,350,150,16,4.5,0,115,870,36,2,3,13,
Cheesy Toasted Breakfast Burrito  Fiesta Potato (V),340,130,14,3.5,0,100,750,43,3,3,10,
Cheesy Toasted Breakfast Burrito  Sausage,340,160,17,5,0,110,730,36,2,3,11,
Cinnabon Delights„¢ (2 Pack) (V),160,80,9,2,0,5,80,17,0,10,2,
Cinnabon Delights„¢ (12 Pack  Serves 4) (V),930,480,53,13,2,40,480,104,3,59,9,
Grande Toasted Breakfast Burrito  Bacon,560,270,30,10,0,230,1290,49,4,3,24,
Grande Toasted Breakfast Burrito  Sausage,560,280,31,10,0,230,1150,49,4,3,22,
Grande Toasted Breakfast Burrito  Steak,560,250,28,9,0,240,1310,50,4,3,27,
Hash Brown (V),160,100,12,1,0,0,270,13,2,0,1,
Hash Brown Toasted Breakfast Burrito  Bacon,570,300,33,10,0,135,1270,49,4,2,21,
Hash Brown Toasted Breakfast Burrito  Sausage,570,300,34,10,0,130,1130,49,4,2,18,
Hash Brown Toasted Breakfast Burrito  Steak,570,270,30,9,0,140,1290,50,4,2,24,
7-Up (16 fl oz),190,,,,,70,46,,,46,,
Brisk Mango Iced Tea (16 fl oz),100,,,,,50,26,,,26,,
Brisk Unsweetened No Lemon Iced Tea (16 fl oz),0,,,,,60,0,,,0,,
Diet Dr Pepper (16 fl oz),0,,,,,95,0,,,0,,
Diet Mtn Dew (16 fl oz),5,,,,,75,1,,,1,,
Diet Pepsi (16 fl oz),0,,,,,75,0,,,0,,
Dr Pepper (16 fl oz),190,,,,,60,52,,,51,,
G2  Fruit Punch (16 fl oz),30,,,,,140,7,,,6,,
Mtn Dew (16 fl oz),220,,,,,70,59,,,58,,
Mtn Dew Baja Blast„¢ (16 fl oz),220,,,,,65,59,,,59,,
Mtn Dew Baja Blast Zero Sugar (16 fl oz),5,,,,,70,0,,,0,,
Mtn Dew Kickstart„¢ Orange Citrus (16 fl oz),70,,,,,75,18,,,18,,
Mug Root Beer (16 fl oz),190,,,,,60,52,,,52,,
Pepsi (16 fl oz),200,,,,,45,55,,,55,,
Pepsi Wild Cherry (16 fl oz),210,,,,,40,56,,,56,,
Pepsi Zero Sugar (16 fl oz),0,,,,,85,0,,,0,,
Sierra Mist (16 fl oz),200,,,,,45,54,,,54,,
Tropicana Pink Lemonade (16 fl oz),210,,,,,210,53,,,53,,
7-Up (20 fl oz),240,,,,,85,58,,,58,,
Brisk Mango Iced Tea (20 fl oz),120,,,,,60,32,,,32,,
Brisk Unsweetened No Lemon Iced Tea (20 fl oz),0,,,,,75,0,,,0,,
Diet Dr Pepper (20 fl oz),0,,,,,120,0,,,0,,
Diet Mtn Dew (20 fl oz),10,,,,,90,1,,,1,,
Diet Pepsi (20 fl oz),0,,,,,95,0,,,0,,
Dr Pepper (20 fl oz),240,,,,,75,65,,,64,,
G2  Fruit Punch (20 fl oz),35,,,,,180,9,,,8,,
Mtn Dew (20 fl oz),270,,,,,85,73,,,73,,
Mtn Dew Baja Blast„¢ (20 fl oz),280,,,,,80,74,,,73,,
Mtn Dew Baja Blast Zero Sugar (20 fl oz),10,,,,,85,0,,,0,,
Mtn Dew Kickstart„¢ Orange Citrus (20 fl oz),90,,,,,90,23,,,22,,
Mug Root Beer (20 fl oz),240,,,,,75,65,,,65,,
Pepsi (20 fl oz),250,,,,,55,69,,,69,,
Pepsi Wild Cherry (20 fl oz),260,,,,,50,70,,,70,,
Pepsi Zero Sugar (20 fl oz),0,,,,,105,0,,,0,,
Sierra Mist (20 fl oz),260,,,,,55,68,,,68,,
Tropicana Pink Lemonade (20 fl oz),260,,,,,260,67,,,67,,
FOUNTAIN BEVERAGES (30 OZ), ,,,,, , ,,, ,,
7-Up (30 fl oz),350,,,,,125,87,,,87,,
Brisk Mango Iced Tea (30 fl oz),180,,,,,90,48,,,48,,
Brisk Unsweetened No Lemon Iced Tea (30 fl oz),0,,,,,115,0,,,0,,
Diet Dr Pepper (30 fl oz),0,,,,,180,1,,,0,,
Diet Mtn Dew (30 fl oz),10,,,,,140,1,,,1,,
Diet Pepsi (30 fl oz),0,,,,,140,0,,,0,,
Dr Pepper (30 fl oz),360,,,,,110,98,,,96,,
G2  Fruit Punch (30 fl oz),50,,,,,270,13,,,12,,
Mtn Dew (30 fl oz),410,,,,,125,110,,,109,,
Mtn Dew Baja Blast„¢ (30 fl oz),420,,,,,120,110,,,110,,
